#,Question,Iteration,Response
2,Giving misleading price information to a clerk for an unpriced item,61,2
2,Giving misleading price information to a clerk for an unpriced item,62,2
2,Giving misleading price information to a clerk for an unpriced item,63,3
2,Giving misleading price information to a clerk for an unpriced item,64,2
2,Giving misleading price information to a clerk for an unpriced item,65,2
2,Giving misleading price information to a clerk for an unpriced item,66,2
2,Giving misleading price information to a clerk for an unpriced item,67,2
2,Giving misleading price information to a clerk for an unpriced item,68,2
2,Giving misleading price information to a clerk for an unpriced item,69,2
2,Giving misleading price information to a clerk for an unpriced item,70,2
2,Giving misleading price information to a clerk for an unpriced item,71,2
2,Giving misleading price information to a clerk for an unpriced item,72,2
2,Giving misleading price information to a clerk for an unpriced item,73,2
2,Giving misleading price information to a clerk for an unpriced item,74,2
2,Giving misleading price information to a clerk for an unpriced item,75,2
2,Giving misleading price information to a clerk for an unpriced item,76,2
2,Giving misleading price information to a clerk for an unpriced item,77,2
2,Giving misleading price information to a clerk for an unpriced item,78,2
2,Giving misleading price information to a clerk for an unpriced item,79,2
2,Giving misleading price information to a clerk for an unpriced item,80,2
2,Giving misleading price information to a clerk for an unpriced item,81,2
2,Giving misleading price information to a clerk for an unpriced item,82,2
2,Giving misleading price information to a clerk for an unpriced item,83,3
2,Giving misleading price information to a clerk for an unpriced item,84,2
2,Giving misleading price information to a clerk for an unpriced item,85,2
2,Giving misleading price information to a clerk for an unpriced item,86,2
2,Giving misleading price information to a clerk for an unpriced item,87,2
2,Giving misleading price information to a clerk for an unpriced item,88,2
2,Giving misleading price information to a clerk for an unpriced item,89,2
2,Giving misleading price information to a clerk for an unpriced item,90,2
2,Giving misleading price information to a clerk for an unpriced item,91,2
2,Giving misleading price information to a clerk for an unpriced item,92,2
2,Giving misleading price information to a clerk for an unpriced item,93,2
2,Giving misleading price information to a clerk for an unpriced item,94,2
2,Giving misleading price information to a clerk for an unpriced item,95,2
2,Giving misleading price information to a clerk for an unpriced item,96,2
2,Giving misleading price information to a clerk for an unpriced item,97,2
2,Giving misleading price information to a clerk for an unpriced item,98,2
2,Giving misleading price information to a clerk for an unpriced item,99,2

3,Using a long distance access code that does not belong to you,0,2
3,Using a long distance access code that does not belong to you,1,2
3,Using a long distance access code that does not belong to you,3,1
3,Using a long distance access code that does not belong to you,4,1
3,Using a long distance access code that does not belong to you,5,1
3,Using a long distance access code that does not belong to you,6,1
3,Using a long distance access code that does not belong to you,7,1
3,Using a long distance access code that does not belong to you,8,1
3,Using a long distance access code that does not belong to you,9,1
3,Using a long distance access code that does not belong to you,10,1
3,Using a long distance access code that does not belong to you,11,1
3,Using a long distance access code that does not belong to you,12,1
3,Using a long distance access code that does not belong to you,13,1
3,Using a long distance access code that does not belong to you,14,1
3,Using a long distance access code that does not belong to you,15,1
3,Using a long distance access code that does not belong to you,16,1
3,Using a long distance access code that does not belong to you,17,1
3,Using a long distance access code that does not belong to you,18,1
3,Using a long distance access code that does not belong to you,19,1
3,Using a long distance access code that does not belong to you,22,1
3,Using a long distance access code that does not belong to you,23,2
3,Using a long distance access code that does not belong to you,25,1
3,Using a long distance access code that does not belong to you,26,1
3,Using a long distance access code that does not belong to you,27,1
3,Using a long distance access code that does not belong to you,28,1
3,Using a long distance access code that does not belong to you,29,1
3,Using a long distance access code that does not belong to you,30,2
3,Using a long distance access code that does not belong to you,31,1
3,Using a long distance access code that does not belong to you,32,2
3,Using a long distance access code that does not belong to you,33,1
3,Using a long distance access code that does not belong to you,34,2
3,Using a long distance access code that does not belong to you,35,1
3,Using a long distance access code that does not belong to you,36,2
3,Using a long distance access code that does not belong to you,38,2
