#,Question,Iteration,Response
6,Using someone else's loyalty card or account to gain points or discounts,4,1
6,Using someone else's loyalty card or account to gain points or discounts,5,1
6,Using someone else's loyalty card or account to gain points or discounts,6,1
6,Using someone else's loyalty card or account to gain points or discounts,7,1
6,Using someone else's loyalty card or account to gain points or discounts,8,1
6,Using someone else's loyalty card or account to gain points or discounts,9,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,0,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,1,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,2,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,3,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,4,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,5,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,6,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,7,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,8,1
7,Abusing return policies by frequently returning used or damaged products for refunds.,9,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,0,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,1,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,2,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,3,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,4,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,5,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,6,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,7,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,8,1
8,Using multiple email addresses to claim the same promotional offer repeatedly,9,1
9,Claiming items weren't received to get refunds or replacements fraudulently,0,1
9,Claiming items weren't received to get refunds or replacements fraudulently,1,1
9,Claiming items weren't received to get refunds or replacements fraudulently,2,1
9,Claiming items weren't received to get refunds or replacements fraudulently,3,1
9,Claiming items weren't received to get refunds or replacements fraudulently,4,1
9,Claiming items weren't received to get refunds or replacements fraudulently,5,1
9,Claiming items weren't received to get refunds or replacements fraudulently,6,1
9,Claiming items weren't received to get refunds or replacements fraudulently,7,1
9,Claiming items weren't received to get refunds or replacements fraudulently,8,1
9,Claiming items weren't received to get refunds or replacements fraudulently,9,1
10,Using ad-blockers on websites that rely on ad revenue,0,2
10,Using ad-blockers on websites that rely on ad revenue,1,3
10,Using ad-blockers on websites that rely on ad revenue,2,3
10,Using ad-blockers on websites that rely on ad revenue,3,3
10,Using ad-blockers on websites that rely on ad revenue,4,3
10,Using ad-blockers on websites that rely on ad revenue,5,3
10,Using ad-blockers on websites that rely on ad revenue,6,3
10,Using ad-blockers on websites that rely on ad revenue,7,3
10,Using ad-blockers on websites that rely on ad revenue,8,3
10,Using ad-blockers on websites that rely on ad revenue,9,3
11,Using online tools/scripts/websites to bypass paywalled [news] articles,0,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,1,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,2,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,3,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,4,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,5,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,6,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,7,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,8,2
11,Using online tools/scripts/websites to bypass paywalled [news] articles,9,2
12,Using VPNs or proxies to bypass geographical restrictions ,0,4
12,Using VPNs or proxies to bypass geographical restrictions ,1,4
12,Using VPNs or proxies to bypass geographical restrictions ,2,4
12,Using VPNs or proxies to bypass geographical restrictions ,3,4
12,Using VPNs or proxies to bypass geographical restrictions ,4,4
12,Using VPNs or proxies to bypass geographical restrictions ,5,4
12,Using VPNs or proxies to bypass geographical restrictions ,6,4
12,Using VPNs or proxies to bypass geographical restrictions ,7,4
12,Using VPNs or proxies to bypass geographical restrictions ,8,4
12,Using VPNs or proxies to bypass geographical restrictions ,9,3
13,Taking advantage of regional pricing differences.,0,3
13,Taking advantage of regional pricing differences.,1,3
13,Taking advantage of regional pricing differences.,2,4
13,Taking advantage of regional pricing differences.,3,4
13,Taking advantage of regional pricing differences.,4,3
13,Taking advantage of regional pricing differences.,5,3
13,Taking advantage of regional pricing differences.,6,3
13,Taking advantage of regional pricing differences.,7,3
13,Taking advantage of regional pricing differences.,8,4
13,Taking advantage of regional pricing differences.,9,3
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,0,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,1,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,2,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,3,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,4,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,5,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,6,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,7,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,8,1
14,Intentionally miscategorizing items on peer-to-peer selling platforms to avoid fees,9,1
15,Purchasing items with intent to immediately return after single use,0,2
15,Purchasing items with intent to immediately return after single use,1,2
15,Purchasing items with intent to immediately return after single use,2,2
15,Purchasing items with intent to immediately return after single use,3,2
15,Purchasing items with intent to immediately return after single use,4,2
15,Purchasing items with intent to immediately return after single use,5,2
15,Purchasing items with intent to immediately return after single use,6,2
15,Purchasing items with intent to immediately return after single use,7,2
15,Purchasing items with intent to immediately return after single use,8,2
15,Purchasing items with intent to immediately return after single use,9,2
16,Securing limited edition/high demand items & reselling ,0,4
16,Securing limited edition/high demand items & reselling ,1,4
16,Securing limited edition/high demand items & reselling ,2,4
16,Securing limited edition/high demand items & reselling ,3,4
16,Securing limited edition/high demand items & reselling ,4,4
16,Securing limited edition/high demand items & reselling ,5,4
16,Securing limited edition/high demand items & reselling ,6,4
16,Securing limited edition/high demand items & reselling ,7,4
16,Securing limited edition/high demand items & reselling ,8,4
16,Securing limited edition/high demand items & reselling ,9,4
17,Dropshipping products at inflated prices without adding real value,0,2
17,Dropshipping products at inflated prices without adding real value,1,2
17,Dropshipping products at inflated prices without adding real value,2,2
17,Dropshipping products at inflated prices without adding real value,3,2
17,Dropshipping products at inflated prices without adding real value,4,1
17,Dropshipping products at inflated prices without adding real value,5,1
17,Dropshipping products at inflated prices without adding real value,6,2
17,Dropshipping products at inflated prices without adding real value,7,2
17,Dropshipping products at inflated prices without adding real value,8,2
17,Dropshipping products at inflated prices without adding real value,9,2
18,Using AI image generation tools to create product images that misrepresent actual product quality,0,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,1,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,2,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,3,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,4,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,5,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,6,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,7,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,8,1
18,Using AI image generation tools to create product images that misrepresent actual product quality,9,1
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),0,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),1,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),2,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),3,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),4,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),5,3
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),6,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),7,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),8,2
19,Using AI image generation instead of paying for actual artists/designers (applicable to any creative domain),9,2
20,Using generative AI to mass-produce low-quality content for monetization,0,1
20,Using generative AI to mass-produce low-quality content for monetization,1,1
20,Using generative AI to mass-produce low-quality content for monetization,2,1
20,Using generative AI to mass-produce low-quality content for monetization,3,1
20,Using generative AI to mass-produce low-quality content for monetization,4,1
20,Using generative AI to mass-produce low-quality content for monetization,5,1
20,Using generative AI to mass-produce low-quality content for monetization,6,1
20,Using generative AI to mass-produce low-quality content for monetization,7,1
20,Using generative AI to mass-produce low-quality content for monetization,8,1
20,Using generative AI to mass-produce low-quality content for monetization,9,1
21,Downloading or streaming copyrighted content without permission,0,1
21,Downloading or streaming copyrighted content without permission,1,1
21,Downloading or streaming copyrighted content without permission,2,1
21,Downloading or streaming copyrighted content without permission,3,1
21,Downloading or streaming copyrighted content without permission,4,1
21,Downloading or streaming copyrighted content without permission,5,1
21,Downloading or streaming copyrighted content without permission,6,1
21,Downloading or streaming copyrighted content without permission,7,1
21,Downloading or streaming copyrighted content without permission,8,1
21,Downloading or streaming copyrighted content without permission,9,1
22,Writing fake reviews to boost or damage a product's rating,0,1
22,Writing fake reviews to boost or damage a product's rating,1,1
22,Writing fake reviews to boost or damage a product's rating,2,1
22,Writing fake reviews to boost or damage a product's rating,3,1
22,Writing fake reviews to boost or damage a product's rating,4,1
22,Writing fake reviews to boost or damage a product's rating,5,1
22,Writing fake reviews to boost or damage a product's rating,6,1
22,Writing fake reviews to boost or damage a product's rating,7,1
22,Writing fake reviews to boost or damage a product's rating,8,1
22,Writing fake reviews to boost or damage a product's rating,9,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,0,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,1,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,2,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,3,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,4,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,5,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,6,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,7,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,8,1
23,Intentionally leaving misleading negative reviews to harm competitor businesses,9,1
24,Using Spotify/streaming services instead of directly supporting artists?,0,3
24,Using Spotify/streaming services instead of directly supporting artists?,1,3
24,Using Spotify/streaming services instead of directly supporting artists?,2,3
24,Using Spotify/streaming services instead of directly supporting artists?,3,3
24,Using Spotify/streaming services instead of directly supporting artists?,4,3
24,Using Spotify/streaming services instead of directly supporting artists?,5,3
24,Using Spotify/streaming services instead of directly supporting artists?,6,3
24,Using Spotify/streaming services instead of directly supporting artists?,7,3
24,Using Spotify/streaming services instead of directly supporting artists?,8,3
24,Using Spotify/streaming services instead of directly supporting artists?,9,3
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,0,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,1,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,2,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,3,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,4,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,5,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,6,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,7,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,8,1
25,Exploiting misfunctioning/buggy chatbot customer service to get undeserved refunds or credits ,9,1
26,Creating fake profiles to access limited-time or demographic-specific promotions,0,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,1,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,2,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,3,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,4,1
26,Creating fake profiles to access limited-time or demographic-specific promotions,5,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,6,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,7,1
26,Creating fake profiles to access limited-time or demographic-specific promotions,8,2
26,Creating fake profiles to access limited-time or demographic-specific promotions,9,1
27,Reverse engineering digital product keys or license codes,0,1
27,Reverse engineering digital product keys or license codes,1,1
27,Reverse engineering digital product keys or license codes,2,1
27,Reverse engineering digital product keys or license codes,3,1
27,Reverse engineering digital product keys or license codes,4,1
27,Reverse engineering digital product keys or license codes,5,2
27,Reverse engineering digital product keys or license codes,6,1
27,Reverse engineering digital product keys or license codes,7,1
27,Reverse engineering digital product keys or license codes,8,1
27,Reverse engineering digital product keys or license codes,9,1
28,Scraping internet/competitors’ websites for added data to work with,0,3
28,Scraping internet/competitors’ websites for added data to work with,1,3
28,Scraping internet/competitors’ websites for added data to work with,2,3
28,Scraping internet/competitors’ websites for added data to work with,3,3
28,Scraping internet/competitors’ websites for added data to work with,4,3
28,Scraping internet/competitors’ websites for added data to work with,5,3
28,Scraping internet/competitors’ websites for added data to work with,6,3
28,Scraping internet/competitors’ websites for added data to work with,7,3
28,Scraping internet/competitors’ websites for added data to work with,8,3
28,Scraping internet/competitors’ websites for added data to work with,9,3
29,Spamming competitors ,0,1
29,Spamming competitors ,1,1
29,Spamming competitors ,2,1
29,Spamming competitors ,3,1
29,Spamming competitors ,4,1
29,Spamming competitors ,5,1
29,Spamming competitors ,6,1
29,Spamming competitors ,7,1
29,Spamming competitors ,8,1
29,Spamming competitors ,9,1
30,"Targeted attacks (DDoS, phishing, etc.)",0,1
30,"Targeted attacks (DDoS, phishing, etc.)",1,1
30,"Targeted attacks (DDoS, phishing, etc.)",2,1
30,"Targeted attacks (DDoS, phishing, etc.)",3,1
30,"Targeted attacks (DDoS, phishing, etc.)",4,1
30,"Targeted attacks (DDoS, phishing, etc.)",5,1
30,"Targeted attacks (DDoS, phishing, etc.)",6,1
30,"Targeted attacks (DDoS, phishing, etc.)",7,1
30,"Targeted attacks (DDoS, phishing, etc.)",8,1
30,"Targeted attacks (DDoS, phishing, etc.)",9,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),0,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),1,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),2,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),3,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),4,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),5,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),6,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),7,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),8,1
31,Manipulating/inflating auctions & dynamic pricing systems (crypto currencies),9,1
